Fragment 300 540 2
Star 1700 800 24
Alien 500   100 128 í‚é~
Alien 700   100 128 í‚é~
Alien 900   100 128 í‚é~
Alien 1100   100 128 í‚é~
Alien 1300   100 128 í‚é~
Alien 1500   100 78 í‚é~

Alien 500   275 130 í‚é~
Alien 700   275 130 í‚é~
Alien 900   275 130 í‚é~
Alien 1100   275 130 í‚é~
Alien 1300   275 130 í‚é~
Alien 1500   275 128 í‚é~

Alien 500   450 130 í‚é~
Alien 700   450 128 í‚é~
Alien 900   450 128 í‚é~
Alien 1100  450 130 í‚é~
Alien 1300  450 128 í‚é~
Alien 1500  450 76 í‚é~

Alien 500   625 130 í‚é~
Alien 700   625 130 í‚é~
Alien 900   625 130 í‚é~
Alien 1100  625 130 í‚é~
Alien 1300  625 128 í‚é~
Alien 1500  625 128 í‚é~

Alien 500   800 128 í‚é~
Alien 700   800 128 í‚é~
Alien 900   800  78 í‚é~
Alien 1100   800 130 í‚é~
Alien 1300   800 128 í‚é~
Alien 1500   800  76 í‚é~

Alien 500   975 130 í‚é~
Alien 700   975 130 í‚é~
Alien 900   975 130 í‚é~
Alien 1100   975 130 í‚é~
Alien 1300   975  76 í‚é~
Alien 1500   975 130 í‚é~

Result 1 255
